year_month,variable,value
2020-03,action figure,0.011111111111091532
2020-04,action figure,13.611111111111107
2020-05,action figure,19.2111111111111
2020-06,action figure,12.011111111111099
2020-07,action figure,15.011111111111099
2020-08,action figure,15.411111111111104
2020-09,action figure,18.811111111111103
2020-10,action figure,21.411111111111104
2020-11,action figure,22.411111111111104
2020-12,action figure,22.611111111111114
2021-01,action figure,19.079629629629615
2021-02,action figure,26.912962962962958
2021-03,action figure,23.08148148148146
2021-04,action figure,23.68148148148147
2021-05,action figure,26.28148148148147
2021-06,action figure,18.081481481481468
2021-07,action figure,20.081481481481468
2021-08,action figure,22.481481481481474
2021-09,action figure,18.881481481481472
2021-10,action figure,26.481481481481474
2020-03,air hockey,-10.822222222222251
2020-04,air hockey,0.5777777777777757
2020-05,air hockey,-2.2222222222222427
2020-06,air hockey,-1.4222222222222065
2020-07,air hockey,-7.222222222222243
2020-08,air hockey,-3.62222222222222
2020-09,air hockey,-6.62222222222222
2020-10,air hockey,-8.622222222222206
2020-11,air hockey,-12.422222222222217
2020-12,air hockey,-21.622222222222206
2021-01,air hockey,-2.0925925925925952
2021-02,air hockey,-5.425925925925917
2021-03,air hockey,-8.229629629629656
2021-04,air hockey,-1.8296296296296362
2021-05,air hockey,-1.6296296296296475
2021-06,air hockey,0.17037037037038516
2021-07,air hockey,-3.6296296296296475
2021-08,air hockey,-3.0296296296296283
2021-09,air hockey,-3.029629629629625
2021-10,air hockey,1.9703703703703823
2020-03,airsoft,2.2555555555555458
2020-04,airsoft,16.255555555555553
2020-05,airsoft,26.855555555555554
2020-06,airsoft,21.855555555555554
2020-07,airsoft,15.855555555555554
2020-08,airsoft,19.055555555555557
2020-09,airsoft,33.855555555555554
2020-10,airsoft,31.455555555555556
2020-11,airsoft,18.45555555555555
2020-12,airsoft,22.65555555555555
2021-01,airsoft,24.73148148148148
2021-02,airsoft,22.898148148148152
2021-03,airsoft,26.607407407407393
2021-04,airsoft,31.607407407407408
2021-05,airsoft,26.207407407407402
2021-06,airsoft,29.207407407407402
2021-07,airsoft,26.20740740740741
2021-08,airsoft,27.407407407407412
2021-09,airsoft,32.2074074074074
2021-10,airsoft,40.80740740740741
2020-03,amusement park,-16.211111111111087
2020-04,amusement park,-27.811111111111103
2020-05,amusement park,-29.611111111111107
2020-06,amusement park,-34.01111111111112
2020-07,amusement park,-41.8111111111111
2020-08,amusement park,-24.01111111111109
2020-09,amusement park,-1.6111111111111143
2020-10,amusement park,-2.6111111111111285
2020-11,amusement park,-4.811111111111121
2020-12,amusement park,-3.2111111111111263
2021-01,amusement park,-3.8796296296296298
2021-02,amusement park,-4.379629629629655
2021-03,amusement park,2.5851851851852103
2021-04,amusement park,-1.0148148148148053
2021-05,amusement park,6.1851851851851904
2021-06,amusement park,12.785185185185185
2021-07,amusement park,7.985185185185202
2021-08,amusement park,4.785185185185199
2021-09,amusement park,12.185185185185183
2021-10,amusement park,1.185185185185162
2020-03,antiquing,-9.766666666666659
2020-04,antiquing,-23.366666666666674
2020-05,antiquing,-15.366666666666667
2020-06,antiquing,-4.366666666666674
2020-07,antiquing,-9.166666666666671
2020-08,antiquing,1.2333333333333272
2020-09,antiquing,-8.76666666666668
